hs6,hs6_description,ucc,ucc_description,confidence,confidence_score,match_method,notes
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",060110,FRESH AND FROZEN WHOLE CHICKEN,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010410,Sheep; live,050410,LAMB AND ORGAN MEATS,HIGH,80,semantic_category,semantic_category: 'sheep' → 'lamb'
010420,Goats; live,010110,FLOUR,MEDIUM,65,semantic_category,semantic_category: both in 'food_grains'
010420,Goats; live,010120,PREPARED FLOUR MIXES,MEDIUM,65,semantic_category,semantic_category: both in 'food_grains'
010420,Goats; live,010210,READY-TO-EAT AND COOKED CEREALS,MEDIUM,65,semantic_category,semantic_category: both in 'food_grains'
010420,Goats; live,010310,RICE,MEDIUM,65,semantic_category,semantic_category: both in 'food_grains'
010420,Goats; live,010320,"PASTA, CORNMEAL AND OTHER CEREAL PRODUCTS",MEDIUM,65,semantic_category,semantic_category: both in 'food_grains'
010420,Goats; live,020110,WHITE BREAD,MEDIUM,65,semantic_category,semantic_category: both in 'food_grains'
010420,Goats; live,020210,"BREAD, OTHER THAN WHITE",MEDIUM,65,semantic_category,semantic_category: both in 'food_grains'
010420,Goats; live,020620,BREAD AND CRACKER PRODUCTS,MEDIUM,65,semantic_category,semantic_category: both in 'food_grains'
010420,Goats; live,050900,"MUTTON, GOAT AND GAME",MEDIUM,65,semantic_category,semantic_category: both in 'food_grains'
010420,Goats; live,140220,CANNED CORN,MEDIUM,65,semantic_category,semantic_category: both in 'food_grains'
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",060310,OTHER POULTRY,HIGH,100,exact_keyword,exact_keyword: poultry
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",060110,FRESH AND FROZEN WHOLE CHICKEN,HIGH,80,semantic_category,semantic_category: 'poultry' → 'chicken'
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",060210,FRESH AND FROZEN CHICKEN PARTS,HIGH,80,semantic_category,semantic_category: 'poultry' → 'chicken'
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",030110,GROUND BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",030810,OTHER BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",040110,BACON,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",040210,PORK CHOPS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",040310,"HAM, NOT CANNED",MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",040410,OTHER PORK,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",040510,SAUSAGE,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",040610,CANNED HAM,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",050310,OTHER LUNCHMEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",050410,LAMB AND ORGAN MEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010512,"Poultry; live, turkeys, weighing not more than 185g",060310,OTHER POULTRY,HIGH,100,exact_keyword,exact_keyword: poultry
010512,"Poultry; live, turkeys, weighing not more than 185g",060110,FRESH AND FROZEN WHOLE CHICKEN,HIGH,80,semantic_category,semantic_category: 'poultry' → 'chicken'
010512,"Poultry; live, turkeys, weighing not more than 185g",060210,FRESH AND FROZEN CHICKEN PARTS,HIGH,80,semantic_category,semantic_category: 'poultry' → 'chicken'
010512,"Poultry; live, turkeys, weighing not more than 185g",030110,GROUND BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010512,"Poultry; live, turkeys, weighing not more than 185g",030810,OTHER BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010512,"Poultry; live, turkeys, weighing not more than 185g",040110,BACON,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010512,"Poultry; live, turkeys, weighing not more than 185g",040210,PORK CHOPS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010512,"Poultry; live, turkeys, weighing not more than 185g",040310,"HAM, NOT CANNED",MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010512,"Poultry; live, turkeys, weighing not more than 185g",040410,OTHER PORK,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010512,"Poultry; live, turkeys, weighing not more than 185g",040510,SAUSAGE,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010512,"Poultry; live, turkeys, weighing not more than 185g",040610,CANNED HAM,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010512,"Poultry; live, turkeys, weighing not more than 185g",050310,OTHER LUNCHMEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010512,"Poultry; live, turkeys, weighing not more than 185g",050410,LAMB AND ORGAN MEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010513,"Poultry; live, ducks, weighing not more than 185g",060310,OTHER POULTRY,HIGH,100,exact_keyword,exact_keyword: poultry
010513,"Poultry; live, ducks, weighing not more than 185g",060110,FRESH AND FROZEN WHOLE CHICKEN,HIGH,80,semantic_category,semantic_category: 'poultry' → 'chicken'
010513,"Poultry; live, ducks, weighing not more than 185g",060210,FRESH AND FROZEN CHICKEN PARTS,HIGH,80,semantic_category,semantic_category: 'poultry' → 'chicken'
010513,"Poultry; live, ducks, weighing not more than 185g",030110,GROUND BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010513,"Poultry; live, ducks, weighing not more than 185g",030810,OTHER BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010513,"Poultry; live, ducks, weighing not more than 185g",040110,BACON,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010513,"Poultry; live, ducks, weighing not more than 185g",040210,PORK CHOPS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010513,"Poultry; live, ducks, weighing not more than 185g",040310,"HAM, NOT CANNED",MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010513,"Poultry; live, ducks, weighing not more than 185g",040410,OTHER PORK,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010513,"Poultry; live, ducks, weighing not more than 185g",040510,SAUSAGE,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010513,"Poultry; live, ducks, weighing not more than 185g",040610,CANNED HAM,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010513,"Poultry; live, ducks, weighing not more than 185g",050310,OTHER LUNCHMEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010513,"Poultry; live, ducks, weighing not more than 185g",050410,LAMB AND ORGAN MEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010514,"Poultry; live, geese, weighing not more than 185g",060310,OTHER POULTRY,HIGH,100,exact_keyword,exact_keyword: poultry
010514,"Poultry; live, geese, weighing not more than 185g",060110,FRESH AND FROZEN WHOLE CHICKEN,HIGH,80,semantic_category,semantic_category: 'poultry' → 'chicken'
010514,"Poultry; live, geese, weighing not more than 185g",060210,FRESH AND FROZEN CHICKEN PARTS,HIGH,80,semantic_category,semantic_category: 'poultry' → 'chicken'
010514,"Poultry; live, geese, weighing not more than 185g",030110,GROUND BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010514,"Poultry; live, geese, weighing not more than 185g",030810,OTHER BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010514,"Poultry; live, geese, weighing not more than 185g",040110,BACON,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010514,"Poultry; live, geese, weighing not more than 185g",040210,PORK CHOPS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010514,"Poultry; live, geese, weighing not more than 185g",040310,"HAM, NOT CANNED",MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010514,"Poultry; live, geese, weighing not more than 185g",040410,OTHER PORK,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010514,"Poultry; live, geese, weighing not more than 185g",040510,SAUSAGE,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010514,"Poultry; live, geese, weighing not more than 185g",040610,CANNED HAM,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010514,"Poultry; live, geese, weighing not more than 185g",050310,OTHER LUNCHMEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010514,"Poultry; live, geese, weighing not more than 185g",050410,LAMB AND ORGAN MEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010515,"Poultry; live, guinea fowls, weighing not more than 185g",060310,OTHER POULTRY,HIGH,100,exact_keyword,exact_keyword: poultry
010515,"Poultry; live, guinea fowls, weighing not more than 185g",060110,FRESH AND FROZEN WHOLE CHICKEN,HIGH,80,semantic_category,semantic_category: 'poultry' → 'chicken'
010515,"Poultry; live, guinea fowls, weighing not more than 185g",060210,FRESH AND FROZEN CHICKEN PARTS,HIGH,80,semantic_category,semantic_category: 'poultry' → 'chicken'
010515,"Poultry; live, guinea fowls, weighing not more than 185g",030110,GROUND BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010515,"Poultry; live, guinea fowls, weighing not more than 185g",030810,OTHER BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010515,"Poultry; live, guinea fowls, weighing not more than 185g",040110,BACON,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010515,"Poultry; live, guinea fowls, weighing not more than 185g",040210,PORK CHOPS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010515,"Poultry; live, guinea fowls, weighing not more than 185g",040310,"HAM, NOT CANNED",MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010515,"Poultry; live, guinea fowls, weighing not more than 185g",040410,OTHER PORK,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010515,"Poultry; live, guinea fowls, weighing not more than 185g",040510,SAUSAGE,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010515,"Poultry; live, guinea fowls, weighing not more than 185g",040610,CANNED HAM,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010515,"Poultry; live, guinea fowls, weighing not more than 185g",050310,OTHER LUNCHMEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010515,"Poultry; live, guinea fowls, weighing not more than 185g",050410,LAMB AND ORGAN MEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",060310,OTHER POULTRY,HIGH,100,exact_keyword,exact_keyword: poultry
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",060110,FRESH AND FROZEN WHOLE CHICKEN,HIGH,80,semantic_category,semantic_category: 'poultry' → 'chicken'
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",060210,FRESH AND FROZEN CHICKEN PARTS,HIGH,80,semantic_category,semantic_category: 'poultry' → 'chicken'
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",030110,GROUND BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",030810,OTHER BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",040110,BACON,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",040210,PORK CHOPS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",040310,"HAM, NOT CANNED",MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",040410,OTHER PORK,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",040510,SAUSAGE,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",040610,CANNED HAM,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",050310,OTHER LUNCHMEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",050410,LAMB AND ORGAN MEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",060310,OTHER POULTRY,HIGH,100,exact_keyword,exact_keyword: poultry
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",060110,FRESH AND FROZEN WHOLE CHICKEN,HIGH,80,semantic_category,semantic_category: 'poultry' → 'chicken'
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",060210,FRESH AND FROZEN CHICKEN PARTS,HIGH,80,semantic_category,semantic_category: 'poultry' → 'chicken'
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",030110,GROUND BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",030810,OTHER BEEF,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",040110,BACON,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",040210,PORK CHOPS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",040310,"HAM, NOT CANNED",MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",040410,OTHER PORK,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",040510,SAUSAGE,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",040610,CANNED HAM,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",050310,OTHER LUNCHMEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",050410,LAMB AND ORGAN MEATS,MEDIUM,65,semantic_category,semantic_category: both in 'food_meat'
020110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",030110,GROUND BEEF,HIGH,80,semantic_category,semantic_category: 'bovine' → 'beef'
020110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",030810,OTHER BEEF,HIGH,80,semantic_category,semantic_category: 'bovine' → 'beef'
020110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",020810,FROZEN AND REFRIGERATED BAKERY PRODUCTS,MEDIUM,70,semantic_category,semantic_category: multiple matches (2)
020110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",060110,FRESH AND FROZEN WHOLE CHICKEN,MEDIUM,70,semantic_category,semantic_category: multiple matches (3)
020110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",060210,FRESH AND FROZEN CHICKEN PARTS,MEDIUM,70,semantic_category,semantic_category: multiple matches (4)
